PLAYER,BIRTH_DATE
Kadeem Allen,1993-01-15
Ron Baker,1993-03-30
Trey Burke,1992-11-12
Damyean Dotson,1994-05-06
Henry Ellenson,1997-01-13
Enes Freedom,1992-05-20
Billy Garrett,1994-10-16
Tim Hardaway Jr.,1992-03-16
Mario Hezonja,1995-02-25
Isaiah Hicks,1994-07-24
John Jenkins,1991-03-06
DeAndre Jordan,1988-07-21
Kevin Knox,1999-08-11
Luke Kornet,1995-07-15
Courtney Lee,1985-10-03
Wesley Matthews,1986-10-14
Emmanuel Mudiay,1996-03-05
Frank Ntilikina,1998-07-28
Mitchell Robinson,1998-04-01
Dennis Smith Jr.,1997-11-25
Lance Thomas,1988-04-24
Allonzo Trier,1996-01-17
Noah Vonleh,1995-08-24
