PLAYER,BIRTH_DATE
Kyle Anderson,1993-09-20
Avery Bradley,1990-11-26
Dillon Brooks,1996-01-22
MarShon Brooks,1989-01-26
Bruno Caboclo,1995-09-21
Jevon Carter,1995-09-14
Omri Casspi,1988-06-22
Mike Conley,1987-10-11
Tyler Dorsey,1996-02-18
Marc Gasol,1985-01-29
JaMychal Green,1990-06-21
Dusty Hannahs,1993-09-02
Andrew Harrison,1994-10-28
Justin Holiday,1989-04-05
Jaren Jackson Jr.,1999-09-15
Shelvin Mack,1990-04-22
C.J. Miles,1987-03-18
Joakim Noah,1985-02-25
Chandler Parsons,1988-10-25
Ivan Rabb,1997-02-04
Wayne Selden,1994-09-30
D.J. Stephens,1990-12-19
Garrett Temple,1986-05-08
Jonas Valančiūnas,1992-05-06
Julian Washburn,1991-12-18
Yuta Watanabe,1994-10-13
Delon Wright,1992-04-26
Tyler Zeller,1990-01-17
