PLAYER,BIRTH_DATE
Tariq Abdul-Wahad,1974-11-03
Charlie Bell,1979-03-12
Shawn Bradley,1972-03-22
Greg Buckner,1976-09-16
Evan Eschmeyer,1975-05-30
Michael Finley,1973-03-06
Adrian Griffin,1974-07-04
Tim Hardaway,1966-09-01
Donnell Harvey,1980-08-26
Juwan Howard,1973-02-07
Avery Johnson,1965-03-25
Raef LaFrentz,1976-05-29
Danny Manning,1966-05-17
Darrick Martin,1971-03-06
Eduardo Nájera,1976-07-11
Steve Nash,1974-02-07
Johnny Newman,1963-11-28
Dirk Nowitzki,1978-06-19
Nick Van Exel,1971-11-27
Wang Zhizhi,1977-07-08
