PLAYER,BIRTH_DATE
Tariq Abdul-Wahad,1974-11-03
Chris Andersen,1978-07-07
Carlos Arroyo,1979-07-30
Mengke Bateer,1975-11-20
Ryan Bowen,1975-11-20
Calbert Cheaney,1971-07-17
Zendon Hamilton,1975-04-27
Tim Hardaway,1966-09-01
Donnell Harvey,1980-08-26
Juwan Howard,1973-02-07
Avery Johnson,1965-03-25
Raef LaFrentz,1976-05-29
Voshon Lenard,1973-05-14
George McCloud,1967-05-27
Antonio McDyess,1974-09-07
James Posey,1977-01-13
Isaiah Rider,1971-03-12
Kenny Satterfield,1981-04-10
Shawnelle Scott,1972-06-16
Nick Van Exel,1971-11-27
Scott Williams,1968-03-21
