PLAYER,BIRTH_DATE
Earl Barron,1981-08-14
Keith Benson,1988-08-13
Andris Biedriņš,1986-04-02
Kwame Brown,1982-03-10
Stephen Curry,1988-03-14
Monta Ellis,1985-10-26
Mickell Gladness,1986-07-26
Richard Jefferson,1980-06-21
Charles Jenkins,1989-02-28
David Lee,1983-04-29
Dominic McGuire,1985-10-20
Mikki Moore,1975-11-04
Nate Robinson,1984-05-31
Brandon Rush,1985-07-07
Ish Smith,1988-07-05
Klay Thompson,1990-02-08
Jeremy Tyler,1991-06-21
Ekpe Udoh,1987-05-20
Chris Wright,1988-09-30
Dorell Wright,1985-12-02
