PLAYER,BIRTH_DATE
Al-Farouq Aminu,1990-09-21
Trevor Ariza,1985-06-30
Gustavo Ayón,1985-04-01
Marco Belinelli,1986-03-25
Jerome Dyson,1987-05-01
Jeff Foote,1987-07-14
Eric Gordon,1988-12-25
Xavier Henry,1991-03-15
Jarrett Jack,1983-10-28
Carldell Johnson,1983-01-28
Chris Johnson,1985-07-15
Trey Johnson,1984-08-30
Solomon Jones,1984-07-16
Chris Kaman,1982-04-28
Carl Landry,1983-09-19
Emeka Okafor,1982-09-28
Donald Sloan,1988-01-15
Jason Smith,1986-03-02
DaJuan Summers,1988-01-24
Lance Thomas,1988-04-24
Greivis Vásquez,1987-01-16
Darryl Watkins,1984-11-08
