PLAYER,BIRTH_DATE
Morris Almond,1985-02-02
Andray Blatche,1986-08-22
Trevor Booker,1987-11-25
Brian Cook,1980-12-04
Jordan Crawford,1988-10-23
Maurice Evans,1978-11-08
Nenê,1982-09-13
Rashard Lewis,1979-08-08
Shelvin Mack,1990-04-22
Cartier Martin,1984-11-20
Roger Mason,1980-09-10
JaVale McGee,1988-01-19
Hamady N'Diaye,1987-01-12
Kevin Séraphin,1989-12-07
Chris Singleton,1989-11-21
James Singleton,1981-07-20
Ronny Turiaf,1983-01-13
Edwin Ubiles,1986-11-26
Jan Veselý,1990-04-24
John Wall,1990-09-06
Nick Young,1985-06-01
