PLAYER,BIRTH_DATE
Alexis Ajinça,1988-05-06
Ryan Anderson,1988-05-06
Ömer Aşık,1986-07-04
Luke Babbitt,1989-06-20
Norris Cole,1988-10-13
Dante Cunningham,1987-04-22
Anthony Davis,1993-03-11
Bryce Dejean-Jones,1992-08-21
Toney Douglas,1986-03-16
James Ennis III,1990-07-01
Tyreke Evans,1989-09-19
Tim Frazier,1990-11-01
Jimmer Fredette,1989-02-25
Alonzo Gee,1987-05-29
Eric Gordon,1988-12-25
Jordan Hamilton,1990-10-06
Jrue Holiday,1990-06-12
Orlando Johnson,1989-03-11
Kendrick Perkins,1984-11-10
Nate Robinson,1984-05-31
Ish Smith,1988-07-05
