PLAYER,BIRTH_DATE
Earl Barron,1981-08-14
Jonathan Bender,1981-01-30
Wilson Chandler,1987-05-10
Eddy Curry,1982-12-05
Toney Douglas,1986-03-16
Chris Duhon,1982-08-31
Danilo Gallinari,1988-08-08
J.R. Giddens,1985-02-13
Al Harrington,1980-02-17
Jordan Hill,1987-07-27
Eddie House,1978-05-14
Larry Hughes,1979-01-23
Jared Jeffries,1981-11-25
Marcus Landry,1985-11-01
David Lee,1983-04-29
Tracy McGrady,1979-05-24
Darko Miličić,1985-06-20
Nate Robinson,1984-05-31
Sergio Rodríguez,1986-06-12
Henry Walker,1987-10-09
