PLAYER,BIRTH_DATE
Hilton Armstrong,1984-11-11
Jon Brockman,1987-03-20
Omri Casspi,1988-06-22
Joey Dorsey,1983-12-16
Tyreke Evans,1989-09-19
Francisco García,1981-12-31
Donté Greene,1988-02-21
Spencer Hawes,1988-04-28
Carl Landry,1983-09-19
Kevin Martin,1983-02-01
Desmond Mason,1977-10-11
Sean May,1984-04-04
Dominic McGuire,1985-10-20
Andrés Nocioni,1979-11-30
Sergio Rodríguez,1986-06-12
Garrett Temple,1986-05-08
Kenny Thomas,1977-07-25
Jason Thompson,1986-07-21
Ime Udoka,1977-08-09
Beno Udrih,1982-07-05
