PLAYER,BIRTH_DATE
Courtney Alexander,1977-04-27
Calvin Booth,1976-05-07
Hubert Davis,1970-05-17
Obinna Ekezie,1975-08-22
Richard Hamilton,1978-02-14
Juwan Howard,1973-02-07
Popeye Jones,1970-06-17
Gerard King,1972-11-25
Christian Laettner,1969-08-17
Felipe López,1974-12-19
Tyrone Nesby,1976-01-31
Cherokee Parks,1972-10-11
Laron Profit,1977-08-05
Mitch Richmond,1965-06-30
Michael Smith,1972-03-28
Mike Smith,1976-04-15
Rod Strickland,1966-07-11
David Vanterpool,1973-03-31
Loy Vaught,1968-02-27
Jahidi White,1976-02-19
Chris Whitney,1971-10-05
