PLAYER,BIRTH_DATE
Courtney Alexander,1977-04-27
Calvin Booth,1976-05-07
Shawn Bradley,1972-03-22
Mark Bryant,1965-04-25
Greg Buckner,1976-09-16
Bill Curley,1972-05-29
Hubert Davis,1970-05-17
Howard Eisley,1972-12-04
Obinna Ekezie,1975-08-22
Michael Finley,1973-03-06
Donnell Harvey,1980-08-26
Juwan Howard,1973-02-07
Christian Laettner,1969-08-17
Vernon Maxwell,1965-09-12
Eduardo Nájera,1976-07-11
Steve Nash,1974-02-07
Dirk Nowitzki,1978-06-19
Gary Trent,1974-09-22
Loy Vaught,1968-02-27
Wang Zhizhi,1977-07-08
