PLAYER,BIRTH_DATE
Etdrick Bohannon,1973-05-29
Chucky Brown,1968-02-29
Bimbo Coles,1968-04-22
Chris Gatling,1967-09-03
Matt Harpring,1976-05-31
Michael Hawkins,1972-10-28
Cedric Henderson,1975-03-11
Zydrunas Ilgauskas,1975-06-05
Jim Jackson,1970-10-14
Anthony Johnson,1974-10-02
Brevin Knight,1975-11-08
Trajan Langdon,1976-05-13
Chris Mihm,1979-07-16
Andre Miller,1976-03-19
Lamond Murray,1973-04-20
Wesley Person,1971-03-28
J.R. Reid,1968-03-31
Larry Robinson,1968-01-11
Robert Traylor,1977-02-01
Clarence Weatherspoon,1970-09-08
