PLAYER,BIRTH_DATE
Sherman Douglas,1966-09-15
Evan Eschmeyer,1975-05-30
Jamie Feick,1974-07-03
Eddie Gill,1978-08-16
Kendall Gill,1968-05-25
Lucious Harris,1970-12-18
Stephen Jackson,1978-04-05
Stephon Marbury,1977-02-20
Kenyon Martin,1977-12-30
Jim McIlvaine,1972-07-30
Johnny Newman,1963-11-28
Kevin Ollie,1972-12-27
Doug Overton,1969-08-03
Soumaila Samake,1978-03-18
Vladimir Stepania,1976-05-08
Mark Strickland,1970-07-14
Jamel Thomas,1973-03-25
Keith Van Horn,1975-10-23
Aaron Williams,1971-10-02
