PLAYER,BIRTH_DATE
Mahmoud Abdul-Rauf,1969-03-09
Shareef Abdur-Rahim,1976-12-11
Isaac Austin,1969-08-18
Mike Bibby,1978-05-13
Michael Dickerson,1975-06-25
Kevin Edwards,1965-10-30
Othella Harrington,1974-01-31
Damon Jones,1976-08-25
Grant Long,1966-03-12
Tony Massenburg,1967-07-31
Brent Price,1968-12-09
Bryant Reeves,1973-06-08
Erick Strickland,1973-11-25
Stromile Swift,1979-11-21
Doug West,1967-05-27
