PLAYER,BIRTH_DATE
Cal Bowdler,1977-03-31
Ira Bowman,1973-06-11
Sean Colson,1975-07-01
Chris Crawford,1975-05-13
Dion Glover,1978-10-22
Alan Henderson,1972-12-02
Jim Jackson,1970-10-14
Anthony Johnson,1974-10-02
DerMarr Johnson,1980-05-05
Brevin Knight,1975-11-08
Toni Kukoč,1968-09-18
Matt Maloney,1971-12-06
Roshown McLeod,1975-11-17
Anthony Miller,1971-10-22
Nazr Mohammed,1977-09-05
Hanno Möttölä,1976-09-09
Dikembe Mutombo,1966-06-25
Andy Panko,1977-11-27
Larry Robinson,1968-01-11
Pepe Sánchez,1977-05-08
Tony Smith,1968-06-14
Jason Terry,1977-09-15
Lorenzen Wright,1975-11-04
