PLAYER,BIRTH_DATE
Shareef Abdur-Rahim,1976-12-11
Derek Anderson,1974-07-18
Ruben Boumtje-Boumtje,1978-05-20
Matt Carroll,1980-08-28
Omar Cook,1982-01-28
Dale Davis,1969-03-25
Dan Dickau,1978-09-16
Kaniel Dickens,1978-07-21
Desmond Ferguson,1977-07-22
Eddie Gill,1978-08-16
Jeff McInnis,1974-10-22
Darius Miles,1981-10-09
Tracy Murray,1971-07-25
Travis Outlaw,1984-09-18
Ruben Patterson,1975-07-31
Wesley Person,1971-03-28
Zach Randolph,1981-07-16
Theo Ratliff,1973-04-17
Vladimir Stepania,1976-05-08
Damon Stoudamire,1973-09-03
Slavko Vraneš,1983-01-30
Rasheed Wallace,1974-09-17
Bonzi Wells,1976-09-28
Qyntel Woods,1981-02-16
