PLAYER,BIRTH_DATE
Shareef Abdur-Rahim,1976-12-11
Michael Bradley,1979-04-18
Jason Collier,1977-09-08
Chris Crawford,1975-05-13
Josh Davis,1980-08-10
Boris Diaw,1982-04-16
Dan Dickau,1978-09-16
Hiram Fuller,1981-05-15
Dion Glover,1978-10-22
Travis Hansen,1978-04-15
Alan Henderson,1972-12-02
Stephen Jackson,1978-04-05
Nazr Mohammed,1977-09-05
Mamadou N'Diaye,1975-06-16
Lee Nailon,1975-02-22
Wesley Person,1971-03-28
Joel Przybilla,1979-10-10
Theo Ratliff,1973-04-17
Željko Rebrača,1972-04-09
Bob Sura,1973-03-25
Jason Terry,1977-09-15
Jacque Vaughn,1975-02-11
Rasheed Wallace,1974-09-17
