PLAYER,BIRTH_DATE
Lonny Baxter,1979-01-27
Corie Blount,1969-01-04
Rick Brunson,1972-06-14
Tyson Chandler,1982-10-02
Jamal Crawford,1980-03-20
Eddy Curry,1982-12-05
Antonio Davis,1968-10-31
Ronald Dupree,1981-01-26
Marcus Fizer,1978-08-10
Kendall Gill,1968-05-25
Kirk Hinrich,1981-01-02
Chris Jefferies,1980-02-13
Linton Johnson,1980-06-13
Donyell Marshall,1973-05-18
Roger Mason,1980-09-10
Jannero Pargo,1979-10-22
Scottie Pippen,1965-09-25
Eddie Robinson,1976-04-19
Jalen Rose,1973-01-30
Paul Shirley,1977-12-23
Jerome Williams,1973-05-10
