SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
2017-18,25.0,CHI,NBA,C,55.0,16.0,977.0,4.7,7.9,0.591,0.0,0.1,0.0,4.7,7.8,0.596,2.0,3.0,0.667,3.1,5.5,8.6,2.0,0.6,0.4,2.0,3.8,11.3,Cristiano Felício
2018-19,26.0,CHI,NBA,C,60.0,0.0,746.0,4.6,8.6,0.531,0.0,0.2,0.0,4.6,8.4,0.543,2.4,3.5,0.685,3.8,6.7,10.5,1.8,0.5,0.3,1.6,3.3,11.6,Cristiano Felício
2019-20,27.0,CHI,NBA,C,22.0,0.0,386.0,3.2,5.0,0.63,0.0,0.2,0.0,3.2,4.8,0.654,1.7,2.1,0.783,5.1,4.4,9.5,1.5,0.9,0.2,1.7,3.2,8.0,Cristiano Felício
2020-21,28.0,CHI,NBA,C,18.0,0.0,84.0,3.0,5.6,0.538,0.0,0.9,0.0,3.0,4.7,0.636,3.9,6.9,0.563,4.3,6.9,11.1,3.9,1.7,0.0,1.7,4.3,9.9,Cristiano Felício
2019-20,21.0,CHI,NBA,C,43.0,7.0,609.0,5.6,7.9,0.701,0.0,0.0,0.0,5.6,7.9,0.701,1.9,3.5,0.533,3.1,3.2,6.3,1.2,0.8,3.3,1.7,5.8,13.0,Daniel Gafford
2020-21,22.0,TOT,NBA,C,54.0,11.0,791.0,7.0,10.2,0.684,0.0,0.0,0.0,7.0,10.2,0.684,3.3,4.9,0.667,4.3,6.2,10.5,1.3,1.2,3.4,1.9,4.5,17.3,Daniel Gafford
2020-21,22.0,CHI,NBA,C,31.0,11.0,383.0,5.6,8.2,0.69,0.0,0.0,0.0,5.6,8.2,0.69,2.5,3.9,0.659,4.1,5.5,9.7,1.6,1.0,3.2,2.1,5.1,13.8,Daniel Gafford
2020-21,22.0,WAS,NBA,C,23.0,0.0,408.0,8.3,12.2,0.681,0.0,0.0,0.0,8.3,12.2,0.681,4.0,5.9,0.672,4.4,6.9,11.3,1.1,1.3,3.6,1.7,3.9,20.6,Daniel Gafford
2021-22,23.0,WAS,NBA,C,72.0,53.0,1444.0,7.1,10.2,0.693,0.0,0.0,0.0,7.1,10.2,0.695,2.7,3.8,0.699,3.9,6.3,10.1,1.7,0.7,2.5,1.6,4.2,16.9,Daniel Gafford
2022-23,24.0,WAS,NBA,C,78.0,47.0,1604.0,6.5,8.9,0.732,0.0,0.0,0.0,6.5,8.9,0.732,2.9,4.2,0.679,3.7,6.1,9.7,1.9,0.7,2.2,1.9,4.2,15.8,Daniel Gafford
2017-18,24.0,PHO,NBA,PG,23.0,2.0,384.0,5.5,11.6,0.476,0.6,2.4,0.231,5.0,9.2,0.541,2.6,3.6,0.737,0.8,4.9,5.7,5.2,2.4,0.7,2.1,3.9,14.2,Shaquille Harrison
2018-19,25.0,CHI,NBA,SG,73.0,11.0,1430.0,4.6,10.7,0.432,0.6,2.2,0.27,4.0,8.5,0.475,2.1,3.1,0.667,0.8,4.8,5.6,3.5,2.2,0.8,1.5,3.1,11.9,Shaquille Harrison
2019-20,26.0,CHI,NBA,SG,43.0,10.0,484.0,5.7,12.3,0.467,1.2,3.1,0.381,4.5,9.1,0.496,2.9,3.7,0.78,1.6,4.8,6.4,3.6,2.5,1.4,1.4,4.1,15.5,Shaquille Harrison
2020-21,27.0,TOT,NBA,SG,34.0,0.0,333.0,2.8,8.4,0.333,0.3,1.7,0.188,2.5,6.7,0.371,1.9,2.4,0.818,0.8,4.4,5.2,2.7,1.8,0.5,1.2,3.6,7.9,Shaquille Harrison
2020-21,27.0,UTA,NBA,SG,17.0,0.0,56.0,3.9,12.9,0.3,0.0,1.3,0.0,3.9,11.6,0.333,3.2,3.9,0.833,1.9,3.9,5.8,5.8,1.3,0.0,3.2,1.9,10.9,Shaquille Harrison
2020-21,27.0,DEN,NBA,SG,17.0,0.0,277.0,2.6,7.5,0.345,0.4,1.8,0.214,2.2,5.7,0.386,1.7,2.1,0.813,0.5,4.5,5.1,2.1,1.9,0.6,0.8,3.9,7.3,Shaquille Harrison
2021-22,28.0,BRK,NBA,SG,2.0,0.0,23.0,3.1,9.4,0.333,0.0,3.1,0.0,3.1,6.3,0.5,0.0,0.0,0.0,1.6,4.7,6.3,4.7,1.6,1.6,3.1,4.7,6.3,Shaquille Harrison
2022-23,29.0,POR,NBA,SG,5.0,0.0,120.0,4.5,10.8,0.417,0.9,3.0,0.3,3.6,7.8,0.462,3.3,4.5,0.733,0.3,6.3,6.6,9.0,3.3,0.6,1.8,3.6,13.2,Shaquille Harrison
2018-19,22.0,CHI,NBA,SF,44.0,14.0,895.0,3.9,8.4,0.459,0.6,2.0,0.28,3.3,6.4,0.516,0.9,1.5,0.605,1.2,6.2,7.4,1.4,0.9,0.2,1.0,2.4,9.2,Chandler Hutchison
2019-20,23.0,CHI,NBA,SF,28.0,10.0,527.0,5.5,12.0,0.457,0.8,2.6,0.316,4.6,9.4,0.496,3.1,5.3,0.59,1.2,6.1,7.4,1.8,1.8,0.5,1.8,3.2,14.9,Chandler Hutchison
2020-21,24.0,TOT,NBA,SF,25.0,1.0,346.0,4.1,10.7,0.379,0.8,2.3,0.364,3.2,8.4,0.383,2.2,2.6,0.84,0.6,7.5,8.1,1.8,1.2,0.5,2.1,3.4,11.1,Chandler Hutchison
2020-21,24.0,CHI,NBA,SF,7.0,0.0,64.0,2.8,10.1,0.278,0.6,1.7,0.333,2.3,8.4,0.267,1.1,1.1,1.0,0.6,10.7,11.3,2.3,0.6,0.0,2.8,5.1,7.3,Chandler Hutchison
2020-21,24.0,WAS,NBA,SF,18.0,1.0,282.0,4.3,10.9,0.4,0.9,2.4,0.368,3.4,8.4,0.409,2.4,2.9,0.826,0.6,6.8,7.4,1.7,1.4,0.6,1.9,3.1,12.0,Chandler Hutchison
2021-22,25.0,PHO,NBA,SF,6.0,0.0,22.0,1.6,3.3,0.5,0.0,0.0,0.0,1.6,3.3,0.5,3.3,3.3,1.0,0.0,8.2,8.2,3.3,0.0,0.0,6.5,1.6,6.5,Chandler Hutchison
2017-18,22.0,NYK,NBA,C,20.0,1.0,326.0,5.4,13.8,0.392,3.1,8.7,0.354,2.3,5.1,0.457,0.9,1.2,0.727,1.2,5.9,7.1,2.9,0.7,1.8,1.3,3.1,14.8,Luke Kornet
2018-19,23.0,NYK,NBA,C,46.0,18.0,784.0,4.9,13.0,0.378,3.2,8.9,0.363,1.7,4.1,0.411,1.7,2.1,0.826,1.3,4.9,6.2,2.5,1.2,1.9,1.1,1.9,14.8,Luke Kornet
2019-20,24.0,CHI,NBA,C,36.0,14.0,559.0,5.3,12.0,0.439,2.0,7.0,0.287,3.3,5.1,0.646,1.3,1.8,0.714,1.4,4.0,5.4,2.1,0.7,1.7,0.9,3.5,13.8,Luke Kornet
2020-21,25.0,TOT,NBA,C,31.0,2.0,348.0,4.6,10.4,0.436,1.6,6.1,0.254,3.0,4.3,0.69,0.3,0.6,0.5,1.4,5.5,6.9,2.5,0.4,3.3,0.7,2.1,11.0,Luke Kornet
2020-21,25.0,CHI,NBA,C,13.0,0.0,94.0,3.4,10.3,0.333,2.3,8.8,0.261,1.1,1.5,0.75,0.8,1.5,0.5,0.4,5.4,5.7,1.5,0.8,2.7,0.4,0.4,10.0,Luke Kornet
2020-21,25.0,BOS,NBA,C,18.0,2.0,254.0,5.0,10.5,0.473,1.3,5.1,0.25,3.7,5.4,0.684,0.1,0.3,0.5,1.8,5.5,7.4,2.8,0.3,3.5,0.9,2.7,11.3,Luke Kornet
2021-22,26.0,TOT,NBA,C,15.0,0.0,103.0,4.5,9.4,0.481,0.0,1.7,0.0,4.5,7.7,0.591,1.4,2.1,0.667,4.5,5.6,10.1,3.1,1.0,1.0,0.0,3.1,10.5,Luke Kornet
2021-22,26.0,CLE,NBA,C,2.0,0.0,15.0,2.4,12.0,0.2,0.0,2.4,0.0,2.4,9.6,0.25,4.8,7.2,0.667,4.8,2.4,7.2,2.4,0.0,2.4,0.0,2.4,9.6,Luke Kornet
2021-22,26.0,MIL,NBA,C,1.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,Luke Kornet
2021-22,26.0,BOS,NBA,C,12.0,0.0,85.0,5.1,8.9,0.571,0.0,1.7,0.0,5.1,7.2,0.706,0.8,1.3,0.667,4.2,6.4,10.6,3.4,1.3,0.8,0.0,3.0,11.0,Luke Kornet
2022-23,27.0,BOS,NBA,C,69.0,0.0,804.0,5.1,7.6,0.665,0.1,0.6,0.231,4.9,7.0,0.701,1.4,1.7,0.821,3.9,5.0,8.8,2.4,0.5,2.1,1.1,3.6,11.7,Luke Kornet
2014-15,19.0,MIN,NBA,PG,77.0,40.0,1902.0,5.4,12.8,0.422,1.1,3.2,0.341,4.3,9.7,0.449,2.8,3.4,0.842,0.5,3.5,4.1,5.2,1.0,0.2,3.7,3.0,14.7,Zach LaVine
2015-16,20.0,MIN,NBA,SG,82.0,33.0,2294.0,6.8,15.0,0.452,1.9,5.0,0.389,4.9,10.1,0.482,2.5,3.2,0.793,0.4,3.2,3.6,3.9,1.1,0.3,2.4,3.0,18.0,Zach LaVine
2016-17,21.0,MIN,NBA,SG,47.0,47.0,1749.0,6.7,14.6,0.459,2.5,6.4,0.387,4.2,8.2,0.515,2.4,2.9,0.836,0.4,2.9,3.3,2.9,0.8,0.2,1.7,2.1,18.3,Zach LaVine
2017-18,22.0,CHI,NBA,SG,24.0,24.0,656.0,7.5,19.5,0.383,2.3,6.8,0.341,5.2,12.7,0.405,4.8,5.9,0.813,0.5,4.7,5.2,4.0,1.3,0.2,2.4,3.0,22.0,Zach LaVine
2018-19,23.0,CHI,NBA,SG,63.0,62.0,2171.0,8.8,18.8,0.467,2.0,5.3,0.374,6.8,13.5,0.504,5.2,6.2,0.832,0.7,4.2,4.9,4.7,1.0,0.4,3.6,2.3,24.7,Zach LaVine
2019-20,24.0,CHI,NBA,SF,60.0,60.0,2085.0,9.3,20.7,0.45,3.2,8.4,0.38,6.1,12.3,0.497,4.6,5.8,0.802,0.7,4.3,5.0,4.4,1.5,0.5,3.6,2.3,26.4,Zach LaVine
2020-21,25.0,CHI,NBA,SG,58.0,58.0,2034.0,10.1,19.9,0.507,3.5,8.4,0.419,6.5,11.4,0.571,4.5,5.3,0.849,0.6,4.5,5.1,5.0,0.8,0.5,3.6,2.4,28.2,Zach LaVine
2021-22,26.0,CHI,NBA,SG,67.0,67.0,2328.0,8.7,18.3,0.476,2.9,7.3,0.389,5.9,11.0,0.534,4.9,5.8,0.853,0.3,4.4,4.8,4.7,0.6,0.4,2.6,1.9,25.3,Zach LaVine
2022-23,27.0,CHI,NBA,SG,77.0,77.0,2768.0,8.8,18.1,0.485,2.7,7.1,0.375,6.1,11.0,0.556,4.7,5.6,0.848,0.5,3.9,4.5,4.3,0.9,0.2,2.5,2.1,24.9,Zach LaVine
2017-18,20.0,CHI,NBA,PF,68.0,68.0,2020.0,6.7,15.4,0.434,2.6,7.1,0.362,4.1,8.2,0.497,2.5,3.0,0.843,1.4,7.6,9.1,1.4,0.7,0.7,1.5,1.8,18.4,Lauri Markkanen
2018-19,21.0,CHI,NBA,PF,52.0,51.0,1682.0,7.3,17.0,0.43,2.6,7.1,0.361,4.8,9.9,0.479,3.6,4.2,0.872,1.6,8.5,10.1,1.6,0.8,0.7,1.8,2.6,20.8,Lauri Markkanen
2019-20,22.0,CHI,NBA,PF,50.0,50.0,1492.0,6.1,14.3,0.425,2.6,7.6,0.344,3.4,6.6,0.518,3.0,3.7,0.824,1.4,6.1,7.6,1.8,1.0,0.6,2.0,2.3,17.8,Lauri Markkanen
2020-21,23.0,CHI,NBA,PF,51.0,26.0,1317.0,6.8,14.2,0.48,3.3,8.1,0.402,3.6,6.2,0.582,2.1,2.5,0.826,1.0,6.4,7.3,1.2,0.7,0.4,1.4,2.1,19.0,Lauri Markkanen
2021-22,24.0,CLE,NBA,SF,61.0,61.0,1878.0,6.0,13.5,0.445,2.6,7.3,0.358,3.4,6.2,0.548,2.6,3.0,0.868,1.1,5.5,6.6,1.6,0.9,0.6,1.0,2.5,17.3,Lauri Markkanen
2022-23,25.0,UTA,NBA,PF,66.0,66.0,2273.0,9.0,18.1,0.499,3.2,8.1,0.391,5.9,10.0,0.585,5.5,6.3,0.875,2.1,7.0,9.0,1.9,0.7,0.6,2.0,2.2,26.8,Lauri Markkanen
2019-20,21.0,CHI,NBA,SF,11.0,0.0,112.0,3.9,9.0,0.429,1.9,4.8,0.4,1.9,4.2,0.462,0.6,1.3,0.5,2.3,1.0,3.2,1.3,1.3,0.0,0.6,5.5,10.3,Adam Mokoka
