PLAYER,BIRTH_DATE
Arron Afflalo,1985-10-15
Chauncey Billups,1976-09-25
Primož Brezec,1979-10-02
Juan Dixon,1978-10-09
Ronald Dupree,1981-01-26
Richard Hamilton,1978-02-14
Jarvis Hayes,1981-08-09
Walter Herrmann,1979-06-26
Lindsey Hunter,1970-12-03
Amir Johnson,1987-05-01
Jason Maxiell,1983-02-18
Antonio McDyess,1974-09-07
Nazr Mohammed,1977-09-05
Ronald Murray,1979-07-29
Tayshaun Prince,1980-02-28
Theo Ratliff,1973-04-17
Cheikh Samb,1984-10-22
Rodney Stuckey,1986-04-21
Rasheed Wallace,1974-09-17
