PLAYER,BIRTH_DATE
Lance Allred,1981-02-02
Devin Brown,1978-12-30
Shannon Brown,1985-11-29
Kaniel Dickens,1978-07-21
Daniel Gibson,1986-02-27
Drew Gooden,1981-09-24
Larry Hughes,1979-01-23
Zydrunas Ilgauskas,1975-06-05
LeBron James,1984-12-30
Damon Jones,1976-08-25
Dwayne Jones,1983-06-09
Donyell Marshall,1973-05-18
Ira Newble,1975-01-20
Demetris Nichols,1984-09-04
Sasha Pavlović,1983-11-15
Cedric Simmons,1986-01-03
Joe Smith,1975-07-26
Eric Snow,1973-04-24
Wally Szczerbiak,1977-03-05
Billy Thomas,1975-12-23
Anderson Varejão,1982-09-28
Ben Wallace,1974-09-10
Delonte West,1983-07-26
