PLAYER,BIRTH_DATE
Maurice Ager,1984-02-09
Malik Allen,1978-06-27
Darrell Armstrong,1968-06-22
Josh Boone,1984-11-21
Vince Carter,1977-01-26
Jason Collins,1978-12-02
DeSagana Diop,1982-01-30
Eddie Gill,1978-08-16
Devin Harris,1983-02-27
Trenton Hassell,1979-03-04
Richard Jefferson,1980-06-21
Jason Kidd,1973-03-23
Nenad Krstić,1983-07-25
Jamaal Magloire,1978-05-21
Boštjan Nachbar,1980-07-03
Stromile Swift,1979-11-21
Billy Thomas,1975-12-23
Marcus Williams,1985-12-03
Sean Williams,1986-09-13
Antoine Wright,1984-02-06
