PLAYER,BIRTH_DATE
Rafer Alston,1976-07-24
Shane Battier,1978-09-09
Aaron Brooks,1985-01-14
Steve Francis,1977-02-21
Gerald Green,1986-01-26
Mike Harris,1983-06-15
Chuck Hayes,1983-06-11
Luther Head,1982-11-26
Bobby Jackson,1973-03-13
Mike James,1975-06-23
Bobby Jones,1984-01-09
Carl Landry,1983-09-19
Tracy McGrady,1979-05-24
Yao Ming,1980-09-12
Dikembe Mutombo,1966-06-25
Steve Novak,1983-06-13
Luis Scola,1980-04-30
Kirk Snyder,1983-06-05
Bonzi Wells,1976-09-28
Justin Williams,1984-05-12
Loren Woods,1978-06-21
