PLAYER,BIRTH_DATE
Brent Barry,1971-12-31
Matt Bonner,1980-04-05
Bruce Bowen,1971-06-14
Tim Duncan,1976-04-25
Francisco Elson,1976-02-28
Michael Finley,1973-03-06
Manu Ginóbili,1977-07-28
Robert Horry,1970-08-25
DerMarr Johnson,1980-05-05
Bobby Jones,1984-01-09
Keith Langford,1983-09-15
Ian Mahinmi,1986-11-05
Fabricio Oberto,1975-03-21
Tony Parker,1982-05-17
Jeremy Richardson,1984-03-01
Damon Stoudamire,1973-09-03
Kurt Thomas,1972-10-04
Ime Udoka,1977-08-09
Jacque Vaughn,1975-02-11
Darius Washington,1985-12-06
Marcus Williams,1986-11-18
