PLAYER,BIRTH_DATE
Blake Ahearn,1984-05-27
Joel Anthony,1982-08-09
Marcus Banks,1981-11-19
Earl Barron,1981-08-14
Mark Blount,1975-11-30
Daequan Cook,1987-04-28
Ricky Davis,1979-09-23
Anfernee Hardaway,1971-07-18
Udonis Haslem,1980-06-09
Luke Jackson,1981-11-06
Alexander Johnson,1983-02-08
Bobby Jones,1984-01-09
Stéphane Lasme,1982-12-17
Shawn Marion,1978-05-07
Alonzo Mourning,1970-02-08
Shaquille O'Neal,1972-03-06
Smush Parker,1981-06-01
Kasib Powell,1981-03-18
Chris Quinn,1983-09-27
Dwyane Wade,1982-01-17
Jason Williams,1975-11-18
Dorell Wright,1985-12-02
