PLAYER,BIRTH_DATE
Chris Andersen,1978-07-07
Darrell Armstrong,1968-06-22
Lonny Baxter,1979-01-27
P.J. Brown,1969-10-14
Speedy Claxton,1978-05-08
Baron Davis,1979-04-13
Dan Dickau,1978-09-16
Corsley Edwards,1979-03-05
Matt Freije,1981-10-02
Alex Garcia,1980-03-04
Junior Harrington,1980-10-02
Casey Jacobsen,1981-03-19
Maciej Lampe,1985-02-05
George Lynch,1970-09-03
Jamaal Magloire,1978-05-21
Boštjan Nachbar,1980-07-03
Lee Nailon,1975-02-22
Rodney Rogers,1971-06-20
J.R. Smith,1985-09-09
Jackson Vroman,1981-06-06
David Wesley,1970-11-14
David West,1980-08-29
