PLAYER,BIRTH_DATE
Jonathan Bender,1981-01-30
Austin Croshere,1975-05-01
Michael Curry,1968-08-22
Dale Davis,1969-03-25
John Edwards,1981-07-31
Jeff Foster,1977-01-16
Tremaine Fowlkes,1976-04-11
Eddie Gill,1978-08-16
Marcus Haislip,1980-12-22
David Harrison,1982-08-15
Stephen Jackson,1978-04-05
Britton Johnsen,1979-07-08
Anthony Johnson,1974-10-02
Fred Jones,1979-03-11
James Jones,1980-10-04
Reggie Miller,1965-08-24
Jermaine O'Neal,1978-10-13
Scot Pollard,1975-02-12
Jamaal Tinsley,1978-02-28
Metta World Peace,1979-11-13
