PLAYER,BIRTH_DATE
Kenny Anderson,1970-10-09
Jon Barry,1969-07-25
Josh Childress,1983-06-20
Jason Collier,1977-09-08
Tony Delk,1974-01-28
Boris Diaw,1982-04-16
Predrag Drobnjak,1975-10-27
Obinna Ekezie,1975-08-22
Tom Gugliotta,1969-12-19
Al Harrington,1980-02-17
Royal Ivey,1981-12-20
Tyronn Lue,1977-05-03
Jelani McCoy,1977-12-06
Anthony Miller,1971-10-22
Donta Smith,1983-11-27
Josh Smith,1985-12-05
Michael Stewart,1975-04-25
James Thomas,1980-11-22
Antoine Walker,1976-08-12
Kevin Willis,1962-09-06
