PLAYER,BIRTH_DATE
Vin Baker,1971-11-23
Andre Barrett,1982-02-21
Jon Barry,1969-07-25
Ryan Bowen,1975-11-20
Torraye Braggs,1976-05-15
Reece Gaines,1981-01-07
Juwan Howard,1973-02-07
Jim Jackson,1970-10-14
Mike James,1975-06-23
Brandin Knight,1981-12-16
Tyronn Lue,1977-05-03
Tracy McGrady,1979-05-24
Yao Ming,1980-09-12
Dikembe Mutombo,1966-06-25
Boštjan Nachbar,1980-07-03
Moochie Norris,1973-07-27
Scott Padgett,1976-04-19
Rod Strickland,1966-07-11
Bob Sura,1973-03-25
Maurice Taylor,1976-10-30
Charlie Ward,1970-10-12
Clarence Weatherspoon,1970-09-08
David Wesley,1970-11-14
