PLAYER,BIRTH_DATE
Ray Allen,1975-07-20
Carlos Arroyo,1979-07-30
Avery Bradley,1990-11-26
Marquis Daniels,1981-01-07
Glen Davis,1986-01-01
Semih Erden,1986-07-28
Kevin Garnett,1976-05-19
Jeff Green,1986-08-28
Luke Harangody,1988-01-02
Chris Johnson,1985-07-15
Nenad Krstić,1983-07-25
Troy Murphy,1980-05-02
Jermaine O'Neal,1978-10-13
Shaquille O'Neal,1972-03-06
Sasha Pavlović,1983-11-15
Kendrick Perkins,1984-11-10
Paul Pierce,1977-10-13
Nate Robinson,1984-05-31
Rajon Rondo,1986-02-22
Von Wafer,1985-07-21
Delonte West,1983-07-26
