PLAYER,BIRTH_DATE
Carmelo Anthony,1984-05-29
Renaldo Balkman,1984-07-14
Chauncey Billups,1976-09-25
Derrick Brown,1987-09-08
Anthony Carter,1975-06-16
Wilson Chandler,1987-05-10
Toney Douglas,1986-03-16
Raymond Felton,1984-06-26
Landry Fields,1988-06-27
Danilo Gallinari,1988-08-08
Jared Jeffries,1981-11-25
Roger Mason,1980-09-10
Timofey Mozgov,1986-07-16
Anthony Randolph,1989-07-15
Andy Rautins,1986-11-02
Amar'e Stoudemire,1982-11-16
Ronny Turiaf,1983-01-13
Henry Walker,1987-10-09
Shawne Williams,1986-02-16
Shelden Williams,1983-10-21
