PLAYER,BIRTH_DATE
Gilbert Arenas,1982-01-06
Hilton Armstrong,1984-11-11
Mike Bibby,1978-05-13
Andray Blatche,1986-08-22
Trevor Booker,1987-11-25
Jordan Crawford,1988-10-23
Maurice Evans,1978-11-08
Alonzo Gee,1987-05-29
Kirk Hinrich,1981-01-02
Josh Howard,1980-04-28
Lester Hudson,1984-08-07
Othyus Jeffers,1985-08-05
Yi Jianlian,1987-10-27
Rashard Lewis,1979-08-08
Cartier Martin,1984-11-20
JaVale McGee,1988-01-19
Hamady N'Diaye,1987-01-12
Larry Owens,1983-01-08
Kevin Séraphin,1989-12-07
Mustafa Shakur,1984-08-18
Al Thornton,1983-12-07
John Wall,1990-09-06
Nick Young,1985-06-01
