PLAYER,BIRTH_DATE
D.J. Augustin,1987-11-10
Derrick Brown,1987-09-08
Kwame Brown,1982-03-10
Matt Carroll,1980-08-28
Sherron Collins,1987-03-18
Dante Cunningham,1987-04-22
Boris Diaw,1982-04-16
DeSagana Diop,1982-01-30
Gerald Henderson,1987-12-09
Stephen Jackson,1978-04-05
Shaun Livingston,1985-09-11
Dominic McGuire,1985-10-20
Nazr Mohammed,1977-09-05
Eduardo Nájera,1976-07-11
Joel Przybilla,1979-10-10
Garrett Temple,1986-05-08
Tyrus Thomas,1986-08-17
Gerald Wallace,1982-07-23
D.J. White,1986-08-31
