PLAYER,BIRTH_DATE
Jordan Farmar,1986-11-30
Derrick Favors,1991-07-15
Dan Gadzuric,1978-02-02
Sundiata Gaines,1986-04-18
Stephen Graham,1982-06-11
Orien Greene,1982-02-04
Devin Harris,1983-02-27
Kris Humphries,1985-02-06
Damion James,1987-10-07
Brook Lopez,1988-04-01
Anthony Morrow,1985-09-27
Troy Murphy,1980-05-02
Travis Outlaw,1984-09-18
Johan Petro,1986-01-27
Quinton Ross,1981-04-30
Joe Smith,1975-07-26
Ben Uzoh,1988-03-19
Sasha Vujačić,1984-03-08
Mario West,1984-06-19
Deron Williams,1984-06-26
Terrence Williams,1987-06-28
Brandan Wright,1987-10-05
