PLAYER,BIRTH_DATE
Quincy Acy,1990-10-06
Anthony Bennett,1993-03-14
Bojan Bogdanović,1989-04-18
Trevor Booker,1987-11-25
Spencer Dinwiddie,1993-04-06
Yogi Ferrell,1993-05-09
Randy Foye,1983-09-24
Archie Goodwin,1994-08-17
Justin Hamilton,1990-04-01
Joe Harris,1991-09-06
Rondae Hollis-Jefferson,1995-01-03
Sean Kilpatrick,1990-01-06
Caris LeVert,1994-08-25
Jeremy Lin,1988-08-23
Brook Lopez,1988-04-01
Chris McCullough,1995-02-05
K.J. McDaniels,1993-02-09
Andrew Nicholson,1989-12-08
Luis Scola,1980-04-30
Greivis Vásquez,1987-01-16
Isaiah Whitehead,1995-03-08
