PLAYER,BIRTH_DATE
Justin Anderson,1993-11-19
Jerryd Bayless,1988-08-20
Robert Covington,1990-12-14
Joel Embiid,1994-03-16
Jerami Grant,1994-03-12
Justin Harper,1989-08-30
Gerald Henderson,1987-12-09
Richaun Holmes,1993-10-15
Ersan İlyasova,1987-05-15
Shawn Long,1993-01-29
Timothé Luwawu-Cabarrot,1995-05-09
T.J. McConnell,1992-03-25
Nerlens Noel,1994-04-10
Jahlil Okafor,1995-12-15
Alex Poythress,1993-09-06
Chasson Randle,1993-02-05
Sergio Rodríguez,1986-06-12
Dario Šarić,1994-04-08
Tiago Splitter,1985-01-01
Nik Stauskas,1993-10-07
Hollis Thompson,1991-04-03
