PLAYER,BIRTH_DATE
Chris Andersen,1978-07-07
Andrew Bogut,1984-11-28
Mike Dunleavy,1980-09-15
Kay Felder,1995-03-29
Channing Frye,1983-05-17
Kyrie Irving,1992-03-23
LeBron James,1984-12-30
Richard Jefferson,1980-06-21
Dahntay Jones,1980-12-27
James Jones,1980-10-04
Kyle Korver,1981-03-17
DeAndre Liggins,1988-03-31
Kevin Love,1988-09-07
Jordan McRae,1991-03-28
Larry Sanders,1988-11-21
Iman Shumpert,1990-06-26
J.R. Smith,1985-09-09
Edy Tavares,1992-03-22
Tristan Thompson,1991-03-13
Deron Williams,1984-06-26
Derrick Williams,1991-05-25
