PLAYER,BIRTH_DATE
Nicolas Batum,1988-12-14
Marco Belinelli,1986-03-25
Treveon Graham,1993-10-28
Aaron Harrison,1994-10-28
Spencer Hawes,1988-04-28
Roy Hibbert,1986-12-11
Frank Kaminsky,1993-04-04
Michael Kidd-Gilchrist,1993-09-26
Jeremy Lamb,1992-05-30
Johnny O'Bryant,1993-06-01
Miles Plumlee,1988-09-01
Brian Roberts,1985-12-03
Ramon Sessions,1986-04-11
Mike Tobey,1994-10-10
Kemba Walker,1990-05-08
Briante Weber,1992-12-29
Marvin Williams,1986-06-19
Christian Wood,1995-09-27
Cody Zeller,1992-10-05
