PLAYER,BIRTH_DATE
Arron Afflalo,1985-10-15
Matt Barnes,1980-03-09
Omri Casspi,1988-06-22
Willie Cauley-Stein,1993-08-18
Darren Collison,1987-08-23
DeMarcus Cousins,1990-08-13
Tyreke Evans,1989-09-19
Jordan Farmar,1986-11-30
Langston Galloway,1991-12-09
Rudy Gay,1986-08-17
Buddy Hield,1992-12-17
Kosta Koufos,1989-02-24
Skal Labissière,1996-03-18
Ty Lawson,1987-11-03
Ben McLemore,1993-02-11
Georgios Papagiannis,1997-07-03
Malachi Richardson,1996-01-05
Garrett Temple,1986-05-08
Anthony Tolliver,1985-06-01
