PLAYER,BIRTH_DATE
Kent Bazemore,1989-07-01
DeAndre' Bembry,1994-07-04
José Calderón,1981-09-28
Malcolm Delaney,1989-03-11
Mike Dunleavy,1980-09-15
Tim Hardaway Jr.,1992-03-16
Dwight Howard,1985-12-08
Kris Humphries,1985-02-06
Ersan İlyasova,1987-05-15
Ryan Kelly,1991-04-09
Kyle Korver,1981-03-17
Paul Millsap,1985-02-10
Mike Muscala,1991-07-01
Gary Neal,1984-10-03
Lamar Patterson,1991-08-12
Taurean Prince,1994-03-22
Dennis Schröder,1993-09-15
Mike Scott,1988-07-16
Thabo Sefolosha,1984-05-02
Edy Tavares,1992-03-22
