PLAYER,BIRTH_DATE
Giannis Antetokounmpo,1994-12-06
Michael Beasley,1989-01-09
Malcolm Brogdon,1992-12-11
Matthew Dellavedova,1990-09-08
Spencer Hawes,1988-04-28
John Henson,1990-12-28
Terrence Jones,1992-01-09
Thon Maker,1997-02-25
Khris Middleton,1991-08-12
Greg Monroe,1990-06-04
Steve Novak,1983-06-13
Jabari Parker,1995-03-15
Gary Payton II,1992-12-01
Miles Plumlee,1988-09-01
Tony Snell,1991-11-10
Mirza Teletović,1985-09-18
Jason Terry,1977-09-15
Axel Toupane,1992-07-23
Rashad Vaughn,1996-08-16
